"Date","Open","High","Low","Close","Volume","Adjusted"
"2002-06",2.40000009536743,2.74900007247925,2.21000003814697,2.40000009536743,282932,1.14441609382629
"2002-07",2.40000009536743,2.42499995231628,2.30999994277954,2.32500004768372,207820,1.10865306854248
"2002-08",2.32500004768372,2.40000009536743,2.29999995231628,2.30999994277954,82280,1.10150074958801
"2002-09",2.31599998474121,2.40000009536743,2.1800000667572,2.29500007629395,347448,1.09434795379639
"2002-10",2.11500000953674,2.20000004768372,2.09999990463257,2.15000009536743,1118330,1.02520608901978
"2002-11",2.15000009536743,2.17499995231628,2.02999997138977,2.17499995231628,455010,1.03712689876556
"2002-12",2.1800000667572,2.20499992370605,2.10999989509583,2.20499992370605,410340,1.05143237113953
"2003-01",2.20499992370605,2.23000001907349,2.15000009536743,2.15000009536743,1695970,1.0745245218277
"2003-02",2.15000009536743,2.25,2.09999990463257,2.20499992370605,449240,1.10201191902161
"2003-03",2.20499992370605,2.25,2.20000004768372,2.25,338652,1.12450206279755
"2003-04",2.29999995231628,2.57500004768372,2.25,2.5,3140240,1.24944663047791
"2003-05",2.5,2.65000009536743,2.5,2.65000009536743,328020,1.32441318035126
"2003-06",2.67499995231628,2.84999990463257,2.65000009536743,2.84999990463257,637030,1.42436945438385
"2003-07",2.84999990463257,2.98799991607666,2.79999995231628,2.90000009536743,1129260,1.58123099803925
"2003-08",2.90000009536743,3,2.8989999294281,2.9760000705719,479690,1.62266933917999
"2003-09",2.9760000705719,3.00099992752075,2.84999990463257,3,678680,1.63575553894043
"2003-10",3,3.3050000667572,3,3.29999995231628,315120,1.79933154582977
"2003-11",3.32500004768372,3.39000010490417,3.32500004768372,3.39000010490417,244640,1.84840404987335
"2003-12",3.39000010490417,3.42499995231628,3.20000004768372,3.20000004768372,149404,1.74480617046356
"2004-01",3.20000004768372,3.47000002861023,3.20000004768372,3.40000009536743,500480,1.85385704040527
"2004-02",3.40000009536743,3.40000009536743,3.40000009536743,3.40000009536743,0,1.85385704040527
"2004-03",3.49000000953674,3.5,3.40000009536743,3.5,295370,1.90838193893433
"2004-04",3.59999990463257,3.59999990463257,3.40199995040894,3.5,1209480,1.90838193893433
"2004-05",3.53999996185303,3.54999995231628,3.29999995231628,3.40000009536743,297966,1.85385704040527
"2004-06",3.40000009536743,3.49900007247925,3.23000001907349,3.49900007247925,117444,1.90783643722534
"2004-07",3.41000008583069,3.69899988174438,3.40000009536743,3.68499994277954,136424,2.17543268203735
"2004-08",3.69899988174438,3.69899988174438,3.46799993515015,3.61500000953674,46532,2.13410806655884
"2004-09",3.65000009536743,3.79900002479553,3.59999990463257,3.72499990463257,338206,2.19904661178589
"2004-10",3.79999995231628,4,3.51500010490417,4,3225082,2.36139225959778
"2004-11",4,4.19999980926514,3.90000009536743,4.19999980926514,127738,2.47946238517761
"2004-12",4.19999980926514,4.19999980926514,4.09999990463257,4.19999980926514,753872,2.47946238517761
"2005-01",4.38800001144409,4.40000009536743,4.19999980926514,4.20900011062622,411548,2.56708264350891
"2005-02",4.34000015258789,4.5,4.25,4.5,1003890,2.74456262588501
"2005-03",4.5,4.59899997711182,4.27500009536743,4.32499980926514,288830,2.63783049583435
"2005-04",4.32499980926514,4.4850001335144,4.19999980926514,4.28999996185303,848884,2.61648464202881
"2005-05",4.28999996185303,4.42500019073486,4.00099992752075,4.30000019073486,450350,2.62258243560791
"2005-06",4.42999982833862,4.73999977111816,4.30000019073486,4.59999990463257,551714,2.80555462837219
"2005-07",4.59999990463257,5.75,4.59999990463257,5.5,570924,3.5859580039978
"2005-08",5.72499990463257,5.72499990463257,5.125,5.38000011444092,85382,3.5077178478241
"2005-09",5.5,6.44999980926514,5.5,6.44999980926514,495922,4.20535087585449
"2005-10",6.5,7,6.5,6.75,4420480,4.40094661712646
"2005-11",6.84999990463257,6.875,6.38000011444092,6.42500019073486,506874,4.18905067443848
"2005-12",6.42500019073486,6.65000009536743,5.90000009536743,6.625,1683308,4.31944751739502
"2006-01",6.80000019073486,8.4399995803833,6.80000019073486,8.4399995803833,3956068,5.52730464935303
"2006-02",8.70499992370605,14.75,8.70499992370605,12.0050001144409,1221178,7.86200189590454
"2006-03",12.1300001144409,12.4949998855591,11.6899995803833,12.25,909858,8.0224552154541
"2006-04",12.3500003814697,12.375,11.7550001144409,12.3649997711182,264578,8.09776401519775
"2006-05",12.375,13.9949998855591,11.625,12,482154,7.85872745513916
"2006-06",11.9449996948242,12.6000003814697,11.75,12.6000003814697,8638858,8.25166606903076
"2006-07",12.5,13.1999998092651,11.2849998474121,12.1000003814697,276694,7.97039222717285
"2006-08",12.0900001525879,12.8999996185303,12,12.75,350944,8.39855575561523
"2006-09",12.8950004577637,13.375,12,12.5950002670288,415134,8.2964563369751
"2006-10",12.6000003814697,13.2449998855591,12.2150001525879,12.7349996566772,577482,8.38867473602295
"2006-11",12.7349996566772,14.4449996948242,12.25,13.5749998092651,1254474,8.94199466705322
"2006-12",13.5,13.9949998855591,13,13.3500003814697,5106430,8.79378128051758
"2007-01",13.3500003814697,18.8500003814697,13.3500003814697,17.9699993133545,1581212,11.8625564575195
