"Date","X1","Y1","X1","Y1","X1","Y1","X1","Y1","X1","Y1"
"2000-03",10.6000003814697,11.5100002288818,12585.7998046875,11935,1,0.554126170099638,0.000388416193130297,0.000499564631158319,1,0.307055812389293
"2000-04",11.5100002288818,10.4700002670288,11935,11467.900390625,0.554126170099638,0.568152894846227,0.000499564631158319,0.000506540184041247,0.307055812389293,0.322797711922148
"2000-05",10.4700002670288,8.89999961853027,11467.900390625,10688.5,0.568152894846227,0.741016612276177,0.000506540184041247,0.000905187402375161,0.322797711922148,0.549105619669263
"2000-06",8.89999961853027,9,10688.5,10581.2998046875,0.741016612276177,0.803404027764351,0.000905187402375161,0.0010129963277166,0.549105619669263,0.645458031827981
"2000-07",9,8.72999954223633,10581.2998046875,10531.599609375,0.803404027764351,0.836297832363695,0.0010129963277166,0.00110804534350241,0.645458031827981,0.699394064416216
"2000-08",8.72999954223633,8.80000019073486,10531.599609375,10884.7001953125,0.836297832363695,0.828258915449564,0.00110804534350241,0.00116251729971753,0.699394064416216,0.686012831021687
"2000-09",8.80000019073486,8.39999961853027,10884.7001953125,10950,0.828258915449564,0.79539102570097,0.00116251729971753,0.00122031083914531,0.686012831021687,0.632646883765641
"2000-10",8.39999961853027,7.26000022888184,10950,10363.099609375,0.79539102570097,0.811008761736359,0.00122031083914531,0.00143814023830053,0.632646883765641,0.657735211613142
"2000-11",7.26000022888184,6,10363.099609375,9214.5,0.811008761736359,0.889963170629525,0.00143814023830053,0.00158744418305418,0.657735211613142,0.792034445076957
"2000-12",6,4.69999980926514,9214.5,9109.7998046875,0.889963170629525,0.918389437667764,0.00158744418305418,0.00181935207270597,0.792034445076957,0.843439159219712
"2001-01",4.69999980926514,7.78000020980835,9109.7998046875,10116,0.918389437667764,0.919124096698024,0.00181935207270597,0.00180500364656848,0.843439159219712,0.844789105130959
"2001-02",7.78000020980835,7.44999980926514,10116,9551.400390625,0.919124096698024,0.912685897070772,0.00180500364656848,0.00172369842902234,0.844789105130959,0.83299554671188
"2001-03",7.44999980926514,8.44999980926514,9551.400390625,9308.2998046875,0.912685897070772,0.861801566813214,0.00172369842902234,0.0015293329925762,0.83299554671188,0.742701940561711
"2001-04",8.44999980926514,8.5,9308.2998046875,9761,0.861801566813214,0.845523201030607,0.0015293329925762,0.00147054884729922,0.742701940561711,0.714909483481044
"2001-05",8.5,8.39999961853027,9761,9500.7001953125,0.845523201030607,0.824198338062844,0.00147054884729922,0.0013899192144497,0.714909483481044,0.679302900465554
"2001-06",8.39999961853027,8.30000019073486,9500.7001953125,8878.400390625,0.824198338062844,0.780361113217921,0.0013899192144497,0.00122860830216076,0.679302900465554,0.608963467022713
"2001-07",8.30000019073486,8.19999980926514,8878.400390625,8480,0.780361113217921,0.733571903391494,0.00122860830216076,0.00106119203002529,0.608963467022713,0.53812773744542
"2001-08",8.19999980926514,8.44999980926514,8480,8321.099609375,0.733571903391494,0.681061575274508,0.00106119203002529,0.000911506444575892,0.53812773744542,0.463844869315394
"2001-09",8.44999980926514,7,8321.099609375,7314,0.681061575274508,0.685232970255358,0.000911506444575892,0.000819383723418425,0.463844869315394,0.46954422352498
"2001-10",7,7.30000019073486,7314,7774.2998046875,0.685232970255358,0.688414256727457,0.000819383723418425,0.000777800175621242,0.46954422352498,0.473914188865617
"2001-11",7.30000019073486,8.4399995803833,7774.2998046875,8364.7001953125,0.688414256727457,0.665475537856314,0.000777800175621242,0.000729570631080198,0.473914188865617,0.442857691485151
"2001-12",8.4399995803833,8.10000038146973,8364.7001953125,8397.599609375,0.665475537856314,0.657098480518379,0.000729570631080198,0.000703107922178979,0.442857691485151,0.431778413099563
"2002-01",8.10000038146973,8.18000030517578,8397.599609375,8050.39990234375,0.657098480518379,0.641578447514612,0.000703107922178979,0.000663838966239562,0.431778413099563,0.41162290431526
"2002-02",8.18000030517578,8.18000030517578,8050.39990234375,8135.5,0.641578447514612,0.630212095358998,0.000663838966239562,0.000635200037611551,0.41162290431526,0.397167285136779
"2002-03",8.18000030517578,9.47000026702881,8135.5,8249.7001953125,0.630212095358998,0.578570125222334,0.000635200037611551,0.00057884761425415,0.397167285136779,0.334743389799787
"2002-04",9.47000026702881,10.8999996185303,8249.7001953125,8154.39990234375,0.578570125222334,0.467535516894081,0.00057884761425415,0.00048611028479118,0.334743389799787,0.218589459557415
"2002-05",10.8999996185303,9.60000038146973,8154.39990234375,7949.89990234375,0.467535516894081,0.419569764497023,0.00048611028479118,0.000430612732706692,0.218589459557415,0.176038787280088
"2002-06",9.60000038146973,8.5,7949.89990234375,6913,0.419569764497023,0.396870733157391,0.000430612732706692,0.000384571225234433,0.176038787280088,0.157506378836885
"2002-07",8.5,8.0600004196167,6913,6249.2998046875,0.396870733157391,0.389821252222934,0.000384571225234433,0.000350951220833611,0.157506378836885,0.151960608684657
"2002-08",8.0600004196167,8.14999961853027,6249.2998046875,6435.7001953125,0.389821252222934,0.383529868581914,0.000350951220833611,0.000327246032327501,0.151960608684657,0.14709516009446
"2002-09",8.14999961853027,8,6435.7001953125,5431.7001953125,0.383529868581914,0.377427673742089,0.000327246032327501,0.000297039240057555,0.14709516009446,0.142451648906365
"2002-10",8,8.38000011444092,5431.7001953125,6139.39990234375,0.377427673742089,0.364542767170545,0.000297039240057555,0.000274353696520529,0.142451648906365,0.132891429096358
"2002-11",8.38000011444092,8.5,6139.39990234375,6685.60009765625,0.364542767170545,0.354444262017744,0.000274353696520529,0.000259950255357752,0.132891429096358,0.125630734877303
