"Date","Close","CloseI","correlation","beta","r2"
"2006-07",19.7999992370605,11818,1,0.00759539188629324,1
"2006-08",21.2800006866455,12144.7001953125,0.989087244617182,0.00586880552424999,0.978293577464409
"2006-09",24.1399993896484,12934.7001953125,0.986322126185428,0.00441390132339024,0.972831336602944
"2006-10",26.9400005340576,13753,0.991540768958545,0.00398868783015226,0.983153096506903
"2006-11",27.8400001525879,13849.2998046875,0.994345618472284,0.00404522322920215,0.988723208975029
"2006-12",29.1200008392334,14146.5,0.9958510554119,0.00408402590094349,0.991719324564994
"2007-01",33.2599983215332,14553.2001953125,0.98600618549327,0.00449846087714957,0.972208197830989
"2007-02",34.3499984741211,14248.400390625,0.964383591580523,0.00490806320764936,0.93003571170975
"2007-03",37.25,14641.7001953125,0.95647397659516,0.00535138110586631,0.914842467903759
"2007-04",39,14374.599609375,0.931522617969889,0.00580103385615099,0.867734387789475
"2007-05",46.9799995422363,15329.400390625,0.929609768894767,0.00662778442257196,0.864174322424582
"2007-06",50.1500015258789,14892,0.899446702831156,0.00741282767439994,0.809004371233839
"2007-07",51.25,14802.400390625,0.881212267287629,0.00804311926835677,0.776535060018203
"2007-08",47.9599990844727,14479.7998046875,0.86970480278322,0.00836263924674504,0.756386443984199
"2007-09",51.75,14576.5,0.85523670902593,0.00877271368988643,0.731429828465503
"2007-10",58,15890.5,0.879908018079133,0.00920678388584724,0.774238120279947
"2007-11",49.1599998474121,15759.900390625,0.885257306112222,0.00899858573756725,0.783680498025069
"2007-12",43.7799987792969,15182.2998046875,0.885522309582258,0.00888795755362549,0.784149760767896
"2008-01",40.5,13229,0.861620350977486,0.00853848367863579,0.742389629218566
"2008-02",44.9900016784668,13170.400390625,0.818318255604527,0.00806866458165746,0.669644767455636
"2008-03",47.9900016784668,13269,0.7708182737811,0.00765127269755212,0.594160811194874
"2008-04",48.6100006103516,13798.2998046875,0.749923936923605,0.00756374575021696,0.562385911170999
"2008-05",53.75,13600.900390625,0.703915987810856,0.00732469294535994,0.495497717895734
"2008-06",53.25,12046.2001953125,0.570965599677616,0.0057666682407143,0.32600171601522
"2008-07",48.4199981689453,11881.2998046875,0.489237278599276,0.00471934799515108,0.239353114771225
"2008-08",45.2000007629395,11707.2998046875,0.43548940992525,0.00398984627351771,0.189651026157042
"2008-09",29.8400001525879,10987.5,0.462279699834854,0.00396529999098656,0.213702520879403
"2008-10",22.2299995422363,9116,0.524121060578994,0.00395364742318161,0.274702886142449
"2008-11",18.2000007629395,8910.599609375,0.587448076880815,0.00410603220708925,0.345095243030968
"2008-12",18.4099998474121,9195.7998046875,0.630793039077122,0.00422923168862559,0.397899858148151
"2009-01",20.3500003814697,8450.400390625,0.657990703029753,0.00414239436930662,0.432951765273589
"2009-02",22.25,7620.89990234375,0.670215032294004,0.00389838095924122,0.449188189512853
"2009-03",23.9099998474121,7815,0.677692828061733,0.00371802986958589,0.45926756920631
"2009-04",26.9599990844727,9038,0.682245678534963,0.00364277279000743,0.465459165879632
"2009-05",31.0900001525879,9424.2998046875,0.679189257211001,0.00354517044260959,0.461298047110832
"2009-06",33.6300010681152,9787.7998046875,0.673294073345854,0.00345447756217303,0.453324909202652
"2009-07",34.8199996948242,10855.099609375,0.6711279211826,0.00342327456698806,0.450412686590879
"2009-08",37.8899993896484,11365.099609375,0.667569417374889,0.00339713473280109,0.445648927014248
"2009-09",37.3600006103516,11756.099609375,0.666175286384755,0.0033871358326685,0.44378951218981
"2009-10",36,11414.7998046875,0.664937213148295,0.00337355852517598,0.442141497429421
