"Date","Close","CloseI","correlation","beta","r2"
"2000-02",2,12585.7998046875,1,8.56799224393325e-06,1
"2000-03",2.31500005722046,11935,0.186201959632232,3.92113656807059e-05,0.0346711697708835
"2000-04",2.20700001716614,11467.900390625,0.100404996765884,2.18909697927768e-05,0.0100811633755573
"2000-05",2.04999995231628,10688.5,0.217680652706605,3.98446427644613e-05,0.0473848665627736
"2000-06",2.15000009536743,10581.2998046875,0.133146639551265,2.16492471359397e-05,0.0177280276237945
"2000-07",2.09999990463257,10531.599609375,0.144587646757349,2.16751796155387e-05,0.020905587594828
"2000-08",2.18099999427795,10884.7001953125,0.105205237497108,1.58986652002648e-05,0.0110681419968228
"2000-09",2.29999995231628,10950,0.0354538100853511,6.10287617746015e-06,0.00125697264956814
"2000-10",2.22000002861023,10363.099609375,-0.042719658526109,-7.02183861088488e-06,0.00182496922458736
"2000-11",2.16499996185303,9214.5,-0.0576977234838279,-7.26250541899642e-06,0.00332902729521626
"2000-12",2,9109.7998046875,0.159075929848057,1.84134403413854e-05,0.0253051514570239
"2001-01",2.19000005722046,10116,0.131095925252491,1.50298663026157e-05,0.0171861416178068
"2001-02",2.22000002861023,9551.400390625,0.061045815895031,6.75597066071579e-06,0.00372659163829002
"2001-03",2.22000002861023,9308.2998046875,-0.00336448195206833,-3.5530752656929e-07,1.13197388057935e-05
"2001-04",2.34500002861023,9761,-0.0876246326180041,-1.0024329303645e-05,0.00767807624144018
"2001-05",2.40000009536743,9500.7001953125,-0.188921459544317,-2.36430323769614e-05,0.0356913178763551
"2001-06",2.80999994277954,8878.400390625,-0.390870120242035,-7.30032944695641e-05,0.152779450898023
"2001-07",3.19899988174438,8480,-0.534363717382424,-0.000144530255394579,0.285544582454763
"2001-08",3.29999995231628,8321.099609375,-0.623048515175151,-0.000200949165044978,0.38818945226196
"2001-09",2.77999997138977,7314,-0.655958787640922,-0.000191846816425846,0.430281931083348
"2001-10",2.80299997329712,7774.2998046875,-0.685131705309204,-0.000193739120722141,0.469405453619897
"2001-11",3.09999990463257,8364.7001953125,-0.706607951669463,-0.000210294954325442,0.499294797362515
"2001-12",3,8397.599609375,-0.723698605224868,-0.000220451274330802,0.523739671204419
"2002-01",3.34999990463257,8050.39990234375,-0.742242752661545,-0.000241145781976829,0.550924303878588
"2002-02",3.36500000953674,8135.5,-0.754866266875306,-0.000258369707537676,0.569823080866261
"2002-03",3.72499990463257,8249.7001953125,-0.748146514318935,-0.000282688668446958,0.559723206887572
"2002-04",3.80999994277954,8154.39990234375,-0.748041914905859,-0.000306581429606449,0.559566706456024
"2002-05",3.94000005722046,7949.89990234375,-0.754097030614686,-0.000331872363513487,0.568662331581886
"2002-06",3.82500004768372,6913,-0.781913095613044,-0.000346080224736146,0.611388089091173
"2002-07",3.28500008583069,6249.2998046875,-0.779391541763122,-0.000324930334535989,0.607451175371896
"2002-08",3.5,6435.7001953125,-0.791329307697362,-0.000320515126982574,0.626202073220787
