"Date","X1","Y1","X1","Y1","X1","Y1","X1","Y1","X1","Y1"
"2000-03",21.9699993133545,23.9699993133545,12585.7998046875,11935,1,0.711055098838808,0.00174787177960884,0.00204778194282321,1,0.505599353584666
"2000-04",23.9699993133545,23.8600006103516,11935,11467.900390625,0.711055098838808,0.509536096115806,0.00204778194282321,0.0016282347680304,0.505599353584666,0.259627033244936
"2000-05",23.8600006103516,22.2199993133545,11467.900390625,10688.5,0.509536096115806,0.410021994097656,0.0016282347680304,0.00106825770998025,0.259627033244936,0.168118035643818
"2000-06",22.2199993133545,20.2900009155273,10688.5,10581.2998046875,0.410021994097656,0.516685170184014,0.00106825770998025,0.00128861321468037,0.168118035643818,0.266963565088083
"2000-07",20.2900009155273,22.3899993896484,10581.2998046875,10531.599609375,0.516685170184014,0.430758477998533,0.00128861321468037,0.000994667221149036,0.266963565088083,0.185552866367613
"2000-08",22.3899993896484,21.9500007629395,10531.599609375,10884.7001953125,0.430758477998533,0.424617158548362,0.000994667221149036,0.00096695937966996,0.185552866367613,0.180299731333685
"2000-09",21.9500007629395,21.2999992370605,10884.7001953125,10950,0.424617158548362,0.433354332540815,0.00096695937966996,0.000989460981520879,0.180299731333685,0.187795977531895
"2000-10",21.2999992370605,19.25,10950,10363.099609375,0.433354332540815,0.527260356900687,0.000989460981520879,0.00128362951494215,0.187795977531895,0.27800348395904
"2000-11",19.25,18.6100006103516,10363.099609375,9214.5,0.527260356900687,0.665254791379485,0.00128362951494215,0.0014175323122801,0.27800348395904,0.442563937453363
"2000-12",18.6100006103516,18.1499996185303,9214.5,9109.7998046875,0.665254791379485,0.744612673618368,0.0014175323122801,0.00151589380031725,0.442563937453363,0.554448033713094
"2001-01",18.1499996185303,19.1100006103516,9109.7998046875,10116,0.744612673618368,0.754747821807661,0.00151589380031725,0.0015691146663434,0.554448033713094,0.569644274523408
"2001-02",19.1100006103516,18.6100006103516,10116,9551.400390625,0.754747821807661,0.77875217429204,0.0015691146663434,0.00161213821526985,0.569644274523408,0.606454948964579
"2001-03",18.6100006103516,18.7199993133545,9551.400390625,9308.2998046875,0.77875217429204,0.795808849266376,0.00161213821526985,0.00160382169199805,0.606454948964579,0.633311724570673
"2001-04",18.7199993133545,18.9899997711182,9308.2998046875,9761,0.795808849266376,0.804131903957426,0.00160382169199805,0.00162298030015428,0.633311724570673,0.646628118962195
"2001-05",18.9899997711182,19.2600002288818,9761,9500.7001953125,0.804131903957426,0.808419080978211,0.00162298030015428,0.00160167320490016,0.646628118962195,0.653541410489656
"2001-06",19.2600002288818,18.8400001525879,9500.7001953125,8878.400390625,0.808419080978211,0.810334484869156,0.00160167320490016,0.00152791442192437,0.653541410489656,0.65664197736816
"2001-07",18.8400001525879,18.6499996185303,8878.400390625,8480,0.810334484869156,0.809331509516202,0.00152791442192437,0.00143107420654305,0.65664197736816,0.655017492295774
"2001-08",18.6499996185303,18.25,8480,8321.099609375,0.809331509516202,0.817132082194269,0.00143107420654305,0.00137547864277591,0.655017492295774,0.667704839751141
"2001-09",18.25,16.7999992370605,8321.099609375,7314,0.817132082194269,0.84244482337918,0.00137547864277591,0.00133010652153697,0.667704839751141,0.709713280438378
"2001-10",16.7999992370605,17,7314,7774.2998046875,0.84244482337918,0.858985541717432,0.00133010652153697,0.00133128660899092,0.709713280438378,0.73785616087959
"2001-11",17,17.8700008392334,7774.2998046875,8364.7001953125,0.858985541717432,0.865223846469245,0.00133128660899092,0.00132875441651038,0.73785616087959,0.748612304499035
"2001-12",17.8700008392334,17.5699996948242,8364.7001953125,8397.599609375,0.865223846469245,0.871755324407384,0.00132875441651038,0.00133828795226885,0.748612304499035,0.759957345632624
"2002-01",17.5699996948242,16.8500003814697,8397.599609375,8050.39990234375,0.871755324407384,0.88055446552846,0.00133828795226885,0.00135766274976363,0.759957345632624,0.775376166762111
"2002-02",16.8500003814697,17.3400001525879,8050.39990234375,8135.5,0.88055446552846,0.886077813704896,0.00135766274976363,0.00136047899073928,0.775376166762111,0.785133891940049
"2002-03",17.3400001525879,16.9799995422363,8135.5,8249.7001953125,0.886077813704896,0.890816453730108,0.00136047899073928,0.00137707188236216,0.785133891940049,0.793553954236286
"2002-04",16.9799995422363,17,8249.7001953125,8154.39990234375,0.890816453730108,0.895407382147513,0.00137707188236216,0.00138809305913426,0.793553954236286,0.801754380004262
"2002-05",17,16.6000003814697,8154.39990234375,7949.89990234375,0.895407382147513,0.900560855699543,0.00138809305913426,0.00140224268711434,0.801754380004262,0.811009854818293
"2002-06",16.6000003814697,14.710000038147,7949.89990234375,6913,0.900560855699543,0.911878107535267,0.00140224268711434,0.00143928728467313,0.811009854818293,0.831521683002099
"2002-07",14.710000038147,11.3599996566772,6913,6249.2998046875,0.911878107535267,0.915602511901412,0.00143928728467313,0.0015788424039308,0.831521683002099,0.838327959800175
"2002-08",11.3599996566772,12.1000003814697,6249.2998046875,6435.7001953125,0.915602511901412,0.922020302731122,0.0015788424039308,0.00165748469130782,0.838327959800175,0.850121438648389
"2002-09",12.1000003814697,9.14999961853027,6435.7001953125,5431.7001953125,0.922020302731122,0.929569252192247,0.00165748469130782,0.00178565782368883,0.850121438648389,0.864098994621254
"2002-10",9.14999961853027,10.4300003051758,5431.7001953125,6139.39990234375,0.929569252192247,0.932597942825846,0.00178565782368883,0.00186063505697979,0.864098994621254,0.869738922963
"2002-11",10.4300003051758,11.9099998474121,6139.39990234375,6685.60009765625,0.932597942825846,0.934710128551513,0.00186063505697979,0.00190035688560975,0.869738922963,0.873683024416785
