"Date","CloseI"
"1993-07",2981.19995117188
"1993-08",3360.19995117188
"1993-09",3177.30004882812
"1993-10",3449.60009765625
"1993-11",3280.10009765625
"1993-12",3615.19995117188
"1994-01",3980.5
"1994-02",3739.69995117188
"1994-03",3489.10009765625
"1994-04",3520.69995117188
"1994-05",3512.60009765625
"1994-06",3200.69995117188
"1994-07",3364.19995117188
"1994-08",3337
"1994-09",3176.60009765625
"1994-10",3194.5
"1994-11",3287.10009765625
"1994-12",3087.69995117188
"1995-01",3040.10009765625
"1995-02",3024.5
"1995-03",2931.69995117188
"1995-04",3091.89990234375
"1995-05",3226.5
"1995-06",3219.10009765625
"1995-07",3373.39990234375
"1995-08",3432.80004882812
"1995-09",3376.80004882812
"1995-10",3277.30004882812
"1995-11",3510.10009765625
"1995-12",3630.80004882812
"1996-01",3734.5
"1996-02",3915.5
"1996-03",3857.10009765625
"1996-04",4082.89990234375
"1996-05",4111.7001953125
"1996-06",4264.10009765625
"1996-07",3979.39990234375
"1996-08",4025.5
"1996-09",4215.60009765625
"1996-10",4306.7001953125
"1996-11",4667.7998046875
"1996-12",5154.7998046875
"1997-01",5327.39990234375
"1997-02",5305.39990234375
"1997-03",5424.2998046875
"1997-04",5909.2998046875
"1997-05",6300.7998046875
"1997-06",6884.60009765625
"1997-07",6810.89990234375
"1997-08",6532.2998046875
"1997-09",7269.7001953125
"1997-10",6380.39990234375
"1997-11",6932.10009765625
"1997-12",7255.39990234375
"1998-01",7959
"1998-02",8900.099609375
"1998-03",10209.099609375
"1998-04",10025.599609375
"1998-05",10005.7001953125
"1998-06",10146.400390625
"1998-07",10493.7001953125
"1998-08",8264.7001953125
"1998-09",7676.5
"1998-10",8800
"1998-11",9645.5
"1998-12",9836.599609375
"1999-01",9878.7998046875
"1999-02",9997.2998046875
"1999-03",9740.7001953125
"1999-04",9975.400390625
"1999-05",10072.2998046875
"1999-06",10218.599609375
"1999-07",9391.900390625
"1999-08",9806.099609375
"1999-09",9525.400390625
"1999-10",9741.5
"1999-11",10958.099609375
"1999-12",11641.400390625
"2000-01",10835.099609375
"2000-02",12585.7998046875
"2000-03",11935
"2000-04",11467.900390625
"2000-05",10688.5
"2000-06",10581.2998046875
"2000-07",10531.599609375
"2000-08",10884.7001953125
"2000-09",10950
"2000-10",10363.099609375
"2000-11",9214.5
"2000-12",9109.7998046875
"2001-01",10116
"2001-02",9551.400390625
"2001-03",9308.2998046875
"2001-04",9761
"2001-05",9500.7001953125
"2001-06",8878.400390625
"2001-07",8480
"2001-08",8321.099609375
"2001-09",7314
"2001-10",7774.2998046875
"2001-11",8364.7001953125
"2001-12",8397.599609375
"2002-01",8050.39990234375
"2002-02",8135.5
"2002-03",8249.7001953125
"2002-04",8154.39990234375
"2002-05",7949.89990234375
"2002-06",6913
"2002-07",6249.2998046875
"2002-08",6435.7001953125
"2002-09",5431.7001953125
"2002-10",6139.39990234375
"2002-11",6685.60009765625
"2002-12",6036.89990234375
"2003-01",5947.7001953125
"2003-02",5999.39990234375
"2003-03",5870.5
"2003-04",6489.5
"2003-05",6508.5
"2003-06",6862
"2003-07",7061.7001953125
