"Date","X1","Y1","X1","Y1","X1","Y1","X1","Y1","X1","Y1","X1","Y1","X1","Y1"
"2002-04",0,0.125984641695732,0.0140372681841927,-0.0115519704610477,-1,-0.257885766158261,-58.7910169651619,-1.91046804971028,0.144101570574881,0.102839997526333,0.0024510814408989,0.0138819236248488,1,0.0665050683870334
"2002-05",0.125984641695732,-0.0349649055603968,-0.0115519704610477,-0.0250784855353026,-0.257885766158261,0.398367250779136,-1.91046804971028,2.37849128037318,0.102839997526333,0.110900776108806,0.0138819236248488,0.0185744793988927,0.0665050683870334,0.158696466493327
"2002-06",-0.0349649055603968,0.0108690181893547,-0.0250784855353026,-0.1304293028945,0.398367250779136,0.374113210083333,2.37849128037318,0.632251864640761,0.110900776108806,0.100069209651822,0.0185744793988927,0.059212499554456,0.158696466493327,0.139960693958856
"2002-07",0.0108690181893547,0.0430111451635125,-0.1304293028945,-0.0960075503128164,0.374113210083333,0.368766358753124,0.632251864640761,0.554711008081279,0.100069209651822,0.089809955328404,0.059212499554456,0.0597047646860174,0.139960693958856,0.135988627348038
"2002-08",0.0430111451635125,0.0412375398322893,-0.0960075503128164,0.0298274041013658,0.368766358753124,0.297423553812526,0.554711008081279,0.404167578099535,0.089809955328404,0.0822326960506125,0.0597047646860174,0.0605143559856133,0.135988627348038,0.0884607703624726
"2002-09",0.0412375398322893,0.0099005524499578,0.0298274041013658,-0.156004781069707,0.297423553812526,0.357177526474621,0.404167578099535,0.38816815720014,0.0822326960506125,0.077835914624674,0.0605143559856133,0.0716216385626822,0.0884607703624726,0.127575785418529
"2002-10",0.0099005524499578,0.0254915404597054,-0.156004781069707,0.130290642263722,0.357177526474621,0.193761764486023,0.38816815720014,0.159463145000049,0.077835914624674,0.0732649277175244,0.0716216385626822,0.0890233393395329,0.127575785418529,0.0375436213767371
"2002-11",0.0254915404597054,-0.0146604764915144,0.130290642263722,0.0889663817312154,0.193761764486023,0.0626218287670735,0.159463145000049,0.0491516831609757,0.0732649277175244,0.0717963782457268,0.0890233393395329,0.0914723609743967,0.0375436213767371,0.00392149343813267
"2002-12",-0.0146604764915144,0.00194119792334058,0.0889663817312154,-0.0970294641972248,0.0626218287670735,0.106333817513718,0.0491516831609757,0.0814250875329946,0.0717963782457268,0.0691260200597794,0.0914723609743967,0.0902723451111761,0.00392149343813267,0.0113068807470407
"2003-01",0.00194119792334058,0.00903740496059213,-0.0970294641972248,-0.014775747233546,0.106333817513718,0.102472453784336,0.0814250875329946,0.0790525824800612,0.0691260200597794,0.0664195709103306,0.0902723451111761,0.0860968256438802,0.0113068807470407,0.0105006037845829
"2003-02",0.00903740496059213,0.0428663807066199,-0.014775747233546,0.00869238618852974,0.102472453784336,0.105289942560404,0.0790525824800612,0.0808580095232192,0.0664195709103306,0.0636280258975264,0.0860968256438802,0.0828537733180116,0.0105006037845829,0.0110859720043731
"2003-03",0.0428663807066199,0.0184059787343172,0.00869238618852974,-0.0214854659535854,0.105289942560404,0.105587008691783,0.0808580095232192,0.0813158333139755,0.0636280258975264,0.0613069379486114,0.0828537733180116,0.0796058519753755,0.0110859720043731,0.0111486164044787
"2003-04",0.0184059787343172,0.0722878766934649,-0.0214854659535854,0.105442466570139,0.105587008691783,0.159139501227656,0.0813158333139755,0.114535172898206,0.0613069379486114,0.0598773797344786,0.0796058519753755,0.0831958961133518,0.0111486164044787,0.0253253808509872
"2003-05",0.0722878766934649,0.0393264903408952,0.105442466570139,0.00292780645658364,0.159139501227656,0.15941480760022,0.114535172898206,0.114632009209604,0.0598773797344786,0.0578499353070252,0.0831958961133518,0.0804499229337591,0.0253253808509872,0.0254130808822152
"2003-06",0.0393264903408952,0.0302698410878786,0.00292780645658364,0.0543135899208727,0.15941480760022,0.150370475330022,0.114632009209604,0.106064332840002,0.0578499353070252,0.0560378657501986,0.0804499229337591,0.0794465046232708,0.0254130808822152,0.0226112798509768
"2003-07",0.0302698410878786,0.00314909909101679,0.0543135899208727,0.0291023309986156,0.150370475330022,0.132411990189289,0.106064332840002,0.0938345865716308,0.0560378657501986,0.0549386514226269,0.0794465046232708,0.0775251049636421,0.0226112798509768,0.0175329351458883
"2003-08",0.00314909909101679,0.0172592283780497,0.0291023309986156,0.00702374895608338,0.132411990189289,0.129342103414579,0.0938345865716308,0.0918665966193427,0.0549386514226269,0.0535436916538875,0.0775251049636421,0.075385983131515,0.0175329351458883,0.0167293797157077
"2003-09",0.0172592283780497,0.0205652218928836,0.00702374895608338,-0.0573312500145908,0.129342103414579,0.136686806632566,0.0918665966193427,0.095972201320156,0.0535436916538875,0.0522015748592707,0.075385983131515,0.0743472221180155,0.0167293797157077,0.0186832831074084
"2003-10",0.0205652218928836,0.0327453405196623,-0.0573312500145908,0.0635330115369883,0.136686806632566,0.133270487876884,0.095972201320156,0.09156393325482,0.0522015748592707,0.0508799394736826,0.0743472221180155,0.0740552979297345,0.0186832831074084,0.0177610229389427
"2003-11",0.0327453405196623,0.0317083861508209,0.0635330115369883,0.0172522617294339,0.133270487876884,0.132628314072315,0.09156393325482,0.0909610568678214,0.0508799394736826,0.0496548422060632,0.0740552979297345,0.0724006320296697,0.0177610229389427,0.0175902696936647
"2003-12",0.0317083861508209,0.0212757692657912,0.0172522617294339,0.0668321537831782,0.132628314072315,0.119601891099528,0.0909610568678214,0.0804865510980734,0.0496548422060632,0.0485767860093433,0.0724006320296697,0.0721844257331287,0.0175902696936647,0.0143046123545834
